ID,Nome,Descrição,Desenvolvedor,Publicador,Data de lançamento,Gênero
2264020,Saiko no sutoka halloween edition,"Saiko no Sutoka Halloween Edition is a spin-off of the original game Saiko no Sutoka, in which Saiko is a zombie anime girl who wants to play with her senpai, with the senpai needing to complete her parts and give her food to satisfy her hunger while simultaneously trying to escape.",Habupain,Habupain,Coming soon,Action
2264050,海伦的神迹,"Bereaved by the war, the heroine had been into sleep for three hundred years. After awakening, she lost her memory. What will happen in the new story? The fate of the heroine is in your hand...",橙光游戏,橙光游戏,"23 Feb, 2023",Adventure
2264080,圣魂,西方魔幻为背景的冒险题材放置卡牌类游戏,圣魂游戏,圣魂游戏,"24 Jan, 2023",Adventure
2264100,Dungeon Dungeon! Demo,,KamenYamada,KamenYamada,"19 Jun, 2023",N/A
2264110,Hell Grinder,An intense 2D action rogue-lite game. Fight your way level by level through masses of demons and defeat bosses to delve deeper into hell. Collect demon souls to unlock permanent skills and weapons and become even more powerful.,Mario Jacob,Mario Jacob,Coming soon,Action
2264160,Traffic Brains 2,"Fix urban traffic issues by placing road signs and programming traffic light patterns. Create green lanes, and divert traffic!",Short Story Games,Short Story Games,"31 Mar, 2023",Simulation
2264170,Death or Treat Demo,"The Halloween spirit is missing! Play as Scary and help him save HallowTown. &quot;Death or Treat&quot; is a 2D action-roguelite and hack &amp; slash, with handpainted environments and traditional animation. Explore all the worlds and defeat hordes of enemies using different weapons and skills.",Saona Studios,-,"3 Jan, 2023",N/A
2264180,Angel Legion-DLC Cute Regular(Black),"Embark on your adventure with player from all over the world! Lead your Angel team to reveal the ancient mysteries of Galaxy…… Welcome to Angel legion, a free RPG gacha game with good fun!",Shanghai SilverMoon Network Technology Co.Ltd,Shanghai SilverMoon Network Technology Co.Ltd,"29 Dec, 2022",Adventure
2264200,Domination - War of Nations,This is an online turn-based board game in which each player will need to eliminate their opponents in order to conquer territories and clear the way to win the game.,André Facchinetti,Beonin Studios,"9 Feb, 2023",Indie
2264210,Hentai Puzzle Universe,A simple puzzle-based fun game with anime characters in different concepts. Solve puzzles and join the fun!,AnimeGameShow,AnimeGameShow,"5 Feb, 2023",Casual
2264240,Waiter,"Waiter is a first person game about a waiter. In this cool game, you play as a waiter who needs to serve drinks to club customers. This game will give you unforgettable emotions of joy and fun. Play it with fun and perky music!",gg,gg,"23 Jan, 2023",Adventure
2264250,Numina「ECHOES」Soundtrack,Numina「ECHOES」is an additional Soundtrack release containing all the pieces composed by Manuel Schmuki from Numina Part I &amp; II. Along with it the title track of Numina Part II &quot;Echoes&quot;.,starlit studio,,"12 Mar, 2023",N/A
2264290,Vega,You are part of an army of androids designed to travel through space in search of a potential exoplanet that humans can populate. Your job is to build your arsenal and train at zero gravity during this galactic journey to face and fight the possible threats that could be found once landed.,AfterMoon Softworks,AfterMoon Softworks,Coming soon,Action
2264300,FULLYBROKEN: WAY HOME,"A roguelike shooter set in a post apocalyptic world, with dynamic narrative happening along your journey. Your goal is to go back home to your wife and kids. But the journey back home is perilous and full of danger. Be careful, your actions and choices along the way could leave you dead.",NeverNorthGames,Not The Best Games,"16 Jan, 2023",Action
2264330,Soul Tolerance Demo,"A sci-fi investigative RPG with turn-based combat, unique in its genre, set in the city of Sapporo 2214. Explore a beautiful world in voxel art, populated solely by robots. Speak with a plethora of characters, hunt for clues, craft your own minions, and solve a mystery that can change the world.",Chaosmonger Studio,Chaosmonger Studio,"25 Jan, 2023",N/A
2264350,Xenoids Demo,Xenoids is a survival horror game where you have to face a hostile life form in the confined space of a spaceship.,Better Worlds,Better Worlds,"3 Feb, 2023",N/A
2264360,Knock'Em Out Demo,"Fight with your whole body. If you lose an arm, it's just a scratch. If you lose the other, it's a flesh wound. If you lose your legs, headbutt them. LET'S FIGHT, FIGHT, FIGHT!",BBear Studio,Comuesp,"18 Jun, 2023",N/A
2264370,The Complex: Expedition Playtest,,N/A,,"27 May, 2023",N/A
2264390,Evo,Evotales is a puzzle-platformer about our gilled ancestor who decided to lead the rise of mankind,TwistedNail,TwistedNail,Q4 2023,Adventure
